gen,name,GO,description,meta
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:1901657,glycosyl compound metabolic process,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0016301,kinase activity,F
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0033036,macromolecule localization,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0005634,nucleus,C
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0043412,macromolecule modification,P
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0016020,membrane,C
Locus_5446_Transcript_2_Length_1439_genewise_newlength_1337__CDS__215__1105,alcohol dehydrogenase-like protein,GO:0009719,response to endogenous stimulus,P
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0009414,response to water deprivation,P
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0005783,endoplasmic reticulum,C
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0044434,chloroplast part,C
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation",P
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0004028,3-chloroallyl aldehyde dehydrogenase activity,F
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0072593,reactive oxygen species metabolic process,P
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0009065,glutamine family amino acid catabolic process,P
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0004029,aldehyde dehydrogenase (NAD) activity,F
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0000166,nucleotide binding,F
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0006536,glutamate metabolic process,P
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0005739,mitochondrion,C
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0009086,methionine biosynthetic process,P
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0044763,single-organism cellular process,P
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0046914,transition metal ion binding,F
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0009725,response to hormone stimulus,P
Locus_13570_Transcript_4_Length_2544_genewise_newlength_2428__CDS__254__2032,aldehyde dehydrogenase 3h1,GO:0055114,oxidation-reduction process,P
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0009414,response to water deprivation,P
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0070401,NADP+ binding,F
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0009873,ethylene mediated signaling pathway,P
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0008106,alcohol dehydrogenase (NADP+) activity,F
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0009651,response to salt stress,P
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0016229,steroid dehydrogenase activity,F
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0009507,chloroplast,C
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0045727,positive regulation of translation,P
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0005829,cytosol,C
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0006487,protein N-linked glycosylation,P
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0046686,response to cadmium ion,P
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0009409,response to cold,P
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0055114,oxidation-reduction process,P
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0005634,nucleus,C
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0006468,protein phosphorylation,P
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0005524,ATP binding,F
Locus_936_Transcript_17_Length_3833_genewise_newlength_3833__CDS__26__979,aldo-keto reductase family 4 member c8,GO:0004674,protein serine/threonine kinase activity,F
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0003700,sequence-specific DNA binding transcription factor activity,F
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0032787,monocarboxylic acid metabolic process,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0009805,coumarin biosynthetic process,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0006520,cellular amino acid metabolic process,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0006796,phosphate-containing compound metabolic process,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0005829,cytosol,C
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0006096,glycolysis,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0004033,aldo-keto reductase (NADP) activity,F
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0009651,response to salt stress,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0009941,chloroplast envelope,C
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0019637,organophosphate metabolic process,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0030968,endoplasmic reticulum unfolded protein response,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0009744,response to sucrose stimulus,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0080149,sucrose induced translational repression,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0051188,cofactor biosynthetic process,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0005886,plasma membrane,C
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0009963,positive regulation of flavonoid biosynthetic process,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0003677,DNA binding,F
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0006766,vitamin metabolic process,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0046394,carboxylic acid biosynthetic process,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0046982,protein heterodimerization activity,F
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0006732,coenzyme metabolic process,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0046686,response to cadmium ion,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0006094,gluconeogenesis,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0005634,nucleus,C
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:1901566,organonitrogen compound biosynthetic process,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0009410,response to xenobiotic stimulus,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0009611,response to wounding,P
Locus_1636_Transcript_3_Length_1695_genewise_newlength_1287__CDS__237__1187,aldo-keto reductase family 4 member c8,GO:0006355,"regulation of transcription, DNA-dependent",P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0035671,enone reductase activity,F
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0009072,aromatic amino acid family metabolic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0000096,sulfur amino acid metabolic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0009941,chloroplast envelope,C
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0048046,apoplast,C
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0016117,carotenoid biosynthetic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0008270,zinc ion binding,F
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0010319,stromule,C
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0006636,unsaturated fatty acid biosynthetic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0010264,myo-inositol hexakisphosphate biosynthetic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0044272,sulfur compound biosynthetic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0006766,vitamin metabolic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0006546,glycine catabolic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0019748,secondary metabolic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0042742,defense response to bacterium,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0009106,lipoate metabolic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0009108,coenzyme biosynthetic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0015995,chlorophyll biosynthetic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0035798,2-alkenal reductase (NADP+) activity,F
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0019216,regulation of lipid metabolic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0008652,cellular amino acid biosynthetic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0009570,chloroplast stroma,C
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0009695,jasmonic acid biosynthetic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0009579,thylakoid,C
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0009416,response to light stimulus,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0009409,response to cold,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0055114,oxidation-reduction process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0006733,oxidoreduction coenzyme metabolic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0031408,oxylipin biosynthetic process,P
Locus_22171_Transcript_10_Length_3007_genewise_newlength_2630__CDS__1283__2212,alkenal one oxidoreductase,GO:0009117,nucleotide metabolic process,P
Locus_10407_Transcript_7_Length_2188_genewise_newlength_1693__CDS__155__1600,allantoate amidohydrolase,GO:0047652,allantoate deiminase activity,F
Locus_10407_Transcript_7_Length_2188_genewise_newlength_1693__CDS__155__1600,allantoate amidohydrolase,GO:0015996,chlorophyll catabolic process,P
Locus_10407_Transcript_7_Length_2188_genewise_newlength_1693__CDS__155__1600,allantoate amidohydrolase,GO:0006508,proteolysis,P
Locus_10407_Transcript_7_Length_2188_genewise_newlength_1693__CDS__155__1600,allantoate amidohydrolase,GO:0008237,metallopeptidase activity,F
Locus_10407_Transcript_7_Length_2188_genewise_newlength_1693__CDS__155__1600,allantoate amidohydrolase,GO:0009507,chloroplast,C
Locus_10407_Transcript_7_Length_2188_genewise_newlength_1693__CDS__155__1600,allantoate amidohydrolase,GO:0010136,ureide catabolic process,P
Locus_10407_Transcript_7_Length_2188_genewise_newlength_1693__CDS__155__1600,allantoate amidohydrolase,GO:0005783,endoplasmic reticulum,C
